CLIENT_GEO,PAGE_URL,PAGE_CONTEXT,PAGE_ENTITY_TYPE,TIMESTAMP,TIMESTAMP_DERIVED,UI_EVENT_SOURCE,UI_EVENT_TYPE,UI_EVENT_ID,USER_AGENT,COMPONENT_NAME,REPORT_ID_DERIVED
India/Haryana,/lightning/r/Case/5006P000005tNAWQA2/view,one:recordHomeFlexipage2Wrapper,Case,20220628013746.8,2022-06-28T01:37:46.800Z,TypeError,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36""",,5006P000005tNAWQA2
United States/null,/lightning/r/WorkOrder/0WO6P000002GiBbWAK/view,one:recordHomeFlexipage,WorkOrder,20220628010649.02,2022-06-28T01:06:49.020Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36""",,0WO6P000002GiBbWAK
China/Fujian,/lightning/r/WorkOrder/0WO6P000001vFX5WAM/view?ws=%2Flightning%2Fr%2FAsset%2F02i2R00000HYGacQAH%2Fview,one:recordHomeFlexipage,WorkOrder,20220628010249.16,2022-06-28T01:02:49.159Z,SyntaxError,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36""",,0WO6P000001vFX5WAM
China/Fujian,/lightning/r/WorkOrder/0WO6P000001vFX5WAM/view?ws=%2Flightning%2Fr%2FAsset%2F02i2R00000HYGacQAH%2Fview,one:recordHomeFlexipage,WorkOrder,20220628010249.16,2022-06-28T01:02:49.161Z,SyntaxError,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36""",,0WO6P000001vFX5WAM
China/Fujian,/lightning/r/Case/5006P000006E1ioQAC/view?ws=%2Flightning%2Fr%2FReport%2F00O0b000006iNwdEAE%2Fview,one:recordHomeFlexipage2Wrapper,Case,20220628010331.785,2022-06-28T01:03:31.783Z,TypeError,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36""",,5006P000006E1ioQAC
United States/null,/lightning/r/Task/00T6P00000K3aRyUAJ/view,one:recordHomeFlexipage,Task,20220628010332.348,2022-06-28T01:03:32.349Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36""",,00T6P00000K3aRyUAJ
India/Haryana,/lightning/r/Case/5006P0000066liDQAQ/view,one:recordHomeFlexipage2Wrapper,Case,20220628010515.94,2022-06-28T01:05:15.941Z,TypeError,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36 Edg/103.0.1264.37""",,5006P0000066liDQAQ
India/Haryana,/lightning/r/Case/5006P0000066liDQAQ/view,one:recordHomeFlexipage2Wrapper,Case,20220628010515.945,2022-06-28T01:05:15.945Z,TypeError,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36 Edg/103.0.1264.37""",,5006P0000066liDQAQ
United States/null,/lightning/r/Case/5006P000006EH2oQAG/view,one:recordHomeFlexipage2Wrapper,Case,20220628010550.668,2022-06-28T01:05:50.669Z,TypeError,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36""",,5006P000006EH2oQAG
United States/null,/lightning/r/WorkOrder/0WO6P000002GiBbWAK/view,one:recordHomeFlexipage,WorkOrder,20220628010644.207,2022-06-28T01:06:44.209Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36""",,0WO6P000002GiBbWAK
