EVENT_TYPE_x,TIMESTAMP_x,REQUEST_ID_x,ORGANIZATION_ID,USER_ID_x,RUN_TIME_x,CPU_TIME_x,URI_x,SESSION_KEY_x,LOGIN_KEY_x,USER_TYPE,REQUEST_STATUS_x,DB_TOTAL_TIME_x,API_TYPE,API_VERSION,CLIENT_NAME,METHOD_NAME,ENTITY_NAME_x,ROWS_PROCESSED,REQUEST_SIZE,RESPONSE_SIZE,DB_BLOCKS_x,DB_CPU_TIME_x,TIMESTAMP_DERIVED,USER_ID_DERIVED_x,CLIENT_IP,URI_ID_DERIVED_x,EVENT_TYPE_y,TIMESTAMP_y,REQUEST_ID_y,USER_ID_y,RUN_TIME_y,CPU_TIME_y,URI_y,SESSION_KEY_y,LOGIN_KEY_y,REQUEST_STATUS_y,DB_TOTAL_TIME_y,ENTITY_NAME_y,DISPLAY_TYPE,RENDERING_TYPE,REPORT_ID,ROW_COUNT,NUMBER_EXCEPTION_FILTERS,NUMBER_COLUMNS,AVERAGE_ROW_SIZE,SORT,DB_BLOCKS_y,DB_CPU_TIME_y,NUMBER_BUCKETS,USER_ID_DERIVED_y,URI_ID_DERIVED_y,ReportId,ORIGIN
API,20220628143303.69,SLB:f10a9fcbb146fcc9bc99f8bfe0448855,00D0b000000GaMp,0050b000004KISt,24.0,19.0,Api,Pn3Ok/yahHOweX6r,VYSUhoyqfHsdfd06,Standard,,4861300.0,P,41.0,Boomi/,query,Account,1.0,658.0,785.0,18.0,0.0,2022-06-28T14:33:03.697Z,0050b000004KIStAAO,143.166.226.111,,Report,20220628143303.69,TID:6903304300000a1c86,0050b000004K5r7,468,272,/aura,ZMxv0KIJV9/lik3p,xZruURofqJ0QD384,,143452623,,H,,00O0b000006iNwd,1.0,0,21.0,1128.0,,1048.0,40.0,0,0050b000004K5r7AAC,,00O0b000006iNwdEAE,ReportRunFromLightning
API,20220628143702.55,SLB:c62e7ed6d093c60e576d51d2a820fb22,00D0b000000GaMp,0050b000004K1UI,59.0,37.0,Api,T4dg+6XwBb/6oL/4,Tihv3nqndJ5lMZFx,Standard,,15243990.0,P,41.0,Boomi/,query,EmailMessage,1.0,970.0,3885.0,166.0,10.0,2022-06-28T14:37:02.551Z,0050b000004K1UIAA0,143.166.255.115,,Report,20220628143702.55,TID:89589260000001855d,0052R000009TpCc,854,329,/aura,kFAG8eMbOnxNge/Q,/WzgEGx7Z933d7IF,,519898773,,H,,00O2R0000043lHL,1.0,0,14.0,704.0,,1046.0,40.0,0,0052R000009TpCcQAK,,00O2R0000043lHLUAY,ReportRunFromLightning
API,20220628143803.4,SLB:82809eec0f8da64bc92aff18e02cf547,00D0b000000GaMp,0050b000004KISt,32.0,25.0,Api,Pn3Ok/yahHOweX6r,UGLA+JH3+Zfme1R4,Standard,,8540375.0,P,41.0,Boomi/,query,WorkOrder,1.0,643.0,733.0,34.0,0.0,2022-06-28T14:38:03.404Z,0050b000004KIStAAO,143.166.226.112,,Report,20220628143803.4,TID:3822211690000336e6,0051P000003jYzn,2047,451,/aura,aqvEo0fBagtDEvwB,uV6RO1zm1foHfZeH,,1429419837,,H,,00O0b000004kTaz,9.0,0,27.0,1249.0,0720b000001dyL5.up,10249.0,680.0,0,0051P000003jYznQAE,,00O0b000004kTazEAE,ReportRunFromLightning
API,20220628144105.97,SLB:4e6e4c4bcd3a8f11c05da397cdf8aae6,00D0b000000GaMp,0050b000004KISt,22.0,16.0,Api,Pn3Ok/yahHOweX6r,7tRJYYd426/5G2DF,Standard,,4491707.0,P,41.0,Boomi/,query,Asset,1.0,651.0,778.0,20.0,0.0,2022-06-28T14:41:05.971Z,0050b000004KIStAAO,143.166.226.115,,Report,20220628144105.97,TID:6431800000520ab2c7,0052R000009TnFz,576,411,/aura,eTYWFyzb0yX4Gha6,jMFfN7oL3vt3mzSC,,128203073,,H,,00O0b000004kpcx,0.0,0,9.0,0.0,,11939.0,50.0,0,0052R000009TnFzQAK,,00O0b000004kpcxEAA,ReportRunFromLightning
API,20220628144337.406,SLB:b1738f42ff842ba8ccee9e176040ae29,00D0b000000GaMp,0050b000004KISt,26.0,21.0,Api,Pn3Ok/yahHOweX6r,CFKJ4mXqjmC9PEkg,Standard,,4804019.0,P,41.0,Boomi/,query,Asset,1.0,651.0,778.0,20.0,0.0,2022-06-28T14:43:37.406Z,0050b000004KIStAAO,143.166.255.111,,Report,20220628144337.406,TID:566011170000070a10,0050b000004KVAB,439,252,/aura,1G0KaH5OiAsJ2ZaO,V7KmJ2XrTJ/tSQdI,,177702864,,H,,00O2R000003zXBd,155.0,0,19.0,744.0,,1378.0,40.0,0,0050b000004KVABAA4,,00O2R000003zXBdUAM,ReportRunFromLightning
API,20220628144405.04,SLB:04dbf5659a11931f7ad7f461449d7892,00D0b000000GaMp,0050b000004KISt,28.0,22.0,Api,Pn3Ok/yahHOweX6r,CFKJ4mXqjmC9PEkg,Standard,,4970291.0,P,41.0,Boomi/,query,WorkOrder,1.0,643.0,733.0,15.0,0.0,2022-06-28T14:44:05.036Z,0050b000004KIStAAO,143.166.255.114,,Report,20220628144405.04,TID:322165500000d14c19,0052R000009jVyN,362,278,/aura,w8fkSaAD3jx5ARDA,o0ACsZjUv/2h36Qt,,89734456,,H,,00O2R000004EjYV,1.0,0,28.0,1896.0,,544.0,30.0,0,0052R000009jVyNQAU,,00O2R000004EjYVUA0,ReportRunFromLightning
API,20220628144408.164,SLB:b50e42110a6391caacc35e4df2c49689,00D0b000000GaMp,0050b000004KISt,25.0,19.0,Api,Pn3Ok/yahHOweX6r,CFKJ4mXqjmC9PEkg,Standard,,4496314.0,P,41.0,Boomi/,query,Account,1.0,657.0,784.0,18.0,0.0,2022-06-28T14:44:08.165Z,0050b000004KIStAAO,143.166.226.119,,Report,20220628144408.164,TID:35779960000007e17a,0052R000009zq6K,966,306,/aura,+ir/PstJ1CRnLtc+,Bubj34uzEYDR+z+K,,602173262,,H,,00O2R0000043lHL,2.0,0,14.0,994.0,,895.0,40.0,0,0052R000009zq6KQAQ,,00O2R0000043lHLUAY,ReportRunFromLightning
API,20220628144421.344,SLB:8e9cb4b1bb6f8c6a3a88a4f787dff8ad,00D0b000000GaMp,0050b000004KISt,22.0,16.0,Api,Pn3Ok/yahHOweX6r,BT46BWwnSj7Yxxz5,Standard,,4245391.0,P,41.0,Boomi/,query,Account,1.0,654.0,781.0,18.0,0.0,2022-06-28T14:44:21.344Z,0050b000004KIStAAO,143.166.255.112,,Report,20220628144421.344,TID:83338980000096391b,0052R000009j3dI,525,346,/aura,EhICCBe0I6d0kLpC,t1QgkkKHXhqtj7od,,95307335,,H,,00O6P0000012jx4,21.0,0,15.0,660.0,,11417.0,40.0,0,0052R000009j3dIQAQ,,00O6P0000012jx4UAA,ReportRunFromLightning
API,20220628144555.4,SLB:0d850983e1b793598e781e17bac91125,00D0b000000GaMp,0050b000004KISt,21.0,16.0,Api,Pn3Ok/yahHOweX6r,V/IMJNPiwRPprhg1,Standard,,3999050.0,P,41.0,Boomi/,query,WorkOrder,0.0,641.0,551.0,8.0,0.0,2022-06-28T14:45:55.399Z,0050b000004KIStAAO,143.166.226.114,,Report,20220628144555.4,TID:71215000006f46fe02,0050b000004KEc9,395,228,/aura,x9SiSJ6VNKkf/PCc,GNl5FqUs3Nrs4Ahx,,145992324,,H,,00O0b000004AoOO,60.0,0,15.0,611.0,,1099.0,20.0,1,0050b000004KEc9AAG,,00O0b000004AoOOEA0,ReportRunFromLightning
API,20220628144555.4,SLB:0d850983e1b793598e781e17bac91125,00D0b000000GaMp,0050b000004KISt,21.0,16.0,Api,Pn3Ok/yahHOweX6r,V/IMJNPiwRPprhg1,Standard,,3999050.0,P,41.0,Boomi/,query,WorkOrder,0.0,641.0,551.0,8.0,0.0,2022-06-28T14:45:55.399Z,0050b000004KIStAAO,143.166.226.114,,Report,20220628144555.4,TID:71201000000b5a35bf,0050b000004KEc9,407,234,/aura,x9SiSJ6VNKkf/PCc,GNl5FqUs3Nrs4Ahx,,151394716,,H,,00O0b000004AoOO,60.0,0,15.0,611.0,,1011.0,30.0,1,0050b000004KEc9AAG,,00O0b000004AoOOEA0,ReportRunFromLightning
